dtype,precision,registers,sketch_kb,exact,estimate,relative_error,limit,within_threshold,source_xml_sha256
I64,17,131072,128,65537,65485,0.0007934449242412683,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,131072,131131,0.00045013427734375,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,1048576,1045558,0.0028781890869140625,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,17,131072,128,100000000,99806449,0.00193551,0.008617863895711047,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,0,0,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,1,1,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,2,2,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,3,3,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,7,7,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,31,31,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,128,128,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,1024,1024,0.0,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,4096,4098,0.00048828125,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,8195,8209,0.0017083587553386212,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,32768,32807,0.001190185546875,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,65537,65738,0.00306696980331721,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,131072,131379,0.00234222412109375,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,1048576,1048704,0.0001220703125,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
I64,18,262144,256,100000000,99830999,0.00169001,0.00609375,True,173c8e9162b6fc947784947954950f2433ccd7a3f37862b3cfa76cd425f55872
